n	k	approx	t_approx	exact	t_exact
692501	322244	0.2806002975795696	923	0.28060029757981847	394769763
755771	401336	0.3312768281448062	2627	0.33127682814503523	455926584
476506	82782	0.09238328975198618	943	0.09238328975239612	94312413
314332	83569	0.14658373945366543	671	0.14658373945466327	83168001
363238	102950	0.1573975267968849	752	0.15739752679764513	115041074
578810	511183	0.7159676807828579	704	0.7159676807840467	555948094
438900	63535	0.07615062250290827	599	0.07615062250337643	89440788
223564	194789	0.6971399626185335	766	0.697139962625844	215251347
125443	90401	0.5056598156866102	818	0.5056598156987367	89117040
471345	428254	0.7592897734715108	570	0.7592897734737497	503021330
615850	512111	0.6391959135538671	761	0.639195913554629	562256742
488142	64500	0.0691867221041722	731	0.06918672210455198	70046416
263097	4738	0.009060727459745843	821	0.009060727460913258	5693597
212354	27446	0.06760488076404503	707	0.0676048807660377	24094324
800711	669273	0.6451322183920822	921	0.6451322183925434	747462833
449128	181206	0.23616476813838438	757	0.23616476813893897	208557931
758782	203818	0.14826532018844718	1002	0.14826532018861943	236967069
839753	800348	0.84938065184863	772	0.8493806518499482	936727221
339647	298639	0.7096956522875602	589	0.7096956522909128	336207889
958203	821215	0.6755246604702394	923	0.6755246604706021	920008706
964370	797550	0.633007049627105	1018	0.6330070496274088	929815946
478969	124475	0.14293734285995097	632	0.1429373428603769	140314044
478575	139044	0.16182586509848085	964	0.16182586509892158	183767093
564672	308562	0.3437622815319079	795	0.3437622815323267	403113227
197794	127898	0.4315256657808977	1045	0.43152566578497675	159541273
568420	331791	0.37498735301301056	841	0.3749873530134497	356178946
262431	172967	0.4433821347393079	779	0.4433821347416872	184209746
551565	527172	0.8557051551725203	503	0.855705155175754	659350610
742722	246776	0.18837330341049685	622	0.18837330341068448	266306038
232049	135733	0.37604175287732555	928	0.3760417528799632	163377223
859809	31790	0.018719391016030706	689	0.018719391016143436	46476958
915823	580728	0.4198536569771476	832	0.4198536569773327	630532793
885872	820551	0.7924464231393715	873	0.7924464231401446	973634896
